id,rfc,nombre,ap_paterno,ap_materno,fnac,direccion,telefono,email,propuestas,finscrip
1,KNE22RTR8EC,Bruce,Reyes,Gomez,05/28/1977,Mexico City,8587855767,sed.sem.egestas@protonmail.org,"sostenibilidad, tecnología, infraestructura, inclusión, democracia, bienestar, progreso, oportunidad, crecimiento, equidad, derechos, paz, libertad, cultura, medio","Oct 10, 1997"
2,OSA25TTU8VN,Dorian,Torres,Herrera,01/29/1988,Monclova,6153875152,eget@yahoo.net,"seguridad, justicia, transparencia, igualdad, desarrollo, sostenibilidad, tecnología, infraestructura, inclusión, democracia, bienestar, progreso, oportunidad, crecimiento, equidad,","Feb 16, 1996"
3,RJQ66GLK4VD,Teagan,Fuentes,Soler,06/08/1969,Chihuahua,1078793632,nec.urna@icloud.edu,"transparencia, igualdad, desarrollo, sostenibilidad, tecnología, infraestructura, inclusión, democracia, bienestar, progreso, oportunidad, crecimiento, equidad, derechos, paz,","Aug 26, 1976"
4,MMO83PDA1HA,Jasmine,Reyes,Velasco,07/17/1958,Querétaro,3314428119,congue.elit@icloud.edu,"infraestructura, inclusión, democracia, bienestar, progreso, oportunidad, crecimiento, equidad, derechos, paz, libertad, cultura, medio ambiente, ","Sep 11, 1988"
5,ULW55GTR6NM,Hamilton,Marti,Monserrat,09/03/1984,Villahermosa,4298246173,mi@protonmail.edu,"desarrollo, sostenibilidad, tecnología, infraestructura, inclusión, democracia, bienestar, progreso, oportunidad, crecimiento, equidad, derechos, paz, libertad, cultura,","Dec 29, 2015"
6,SVB46KKR8RN,Jeremy,Ferrer,Montero,10/26/1994,Ciudad Apodaca,3621380502,molestie.sed@outlook.couk,"igualdad, desarrollo, sostenibilidad, tecnología, infraestructura, inclusión, democracia, bienestar, progreso, oportunidad, crecimiento, equidad, derechos, paz, libertad,","Dec 21, 2014"
7,JVL45QTK3HE,Dustin,Vasquez,Espinoza,01/06/1983,Tehuacán,7288967021,vulputate.lacus@aol.org,"tecnología, infraestructura, inclusión, democracia, bienestar, progreso, oportunidad, crecimiento, equidad, derechos, paz, libertad, cultura, medio ambiente,","Nov 26, 1981"
8,ZGC47VES8LW,Lois,Vera,Maximiliano,11/23/1991,Tuxtla Gutiérrez,4306338032,sapien.aenean@yahoo.ca,"desarrollo, sostenibilidad, tecnología, infraestructura, inclusión, democracia, bienestar, progreso, oportunidad, crecimiento, equidad, derechos, paz, libertad, cultura,","Nov 13, 1976"
9,WYL80KDD5JP,Georgia,Jimenez,Renato,11/04/1973,Chilpancingo,6311061178,ante.blandit.viverra@protonmail.couk,"justicia, transparencia, igualdad, desarrollo, sostenibilidad, tecnología, infraestructura, inclusión, democracia, bienestar, progreso, oportunidad, crecimiento, equidad, derechos,","Aug 28, 2012"
10,AOK18XYN4TI,Farrah,Maximo,Ortiz,08/12/1985,Nogales,1085436144,senectus.et@hotmail.edu,"Liderazgo, cambio, innovación, educación, salud, economía, empleo, seguridad, justicia, transparencia, igualdad, desarrollo, sostenibilidad, tecnología, infraestructura,","Jul 15, 2007"
